Inference - SOTS_outdoor
save_image: True
data_path: ../dataset/SOTS/outdoor/hazy
gt_path: ../dataset/SOTS/outdoor/clear
model_path: ../pretrained_models/SOTS_outdoor.pt
result_path: ../infer_results/infer_SOTS_outdoor
size_must_mode: 4
device: cuda
Loading model from ../pretrained_models/SOTS_outdoor.pt
> 0152_1 PSNR=21.616, SSIM=0.9659 pre_time:0.015s, forward_time:0.206s, post_time:0.508s, total_time:0.728s
> 0153_1 PSNR=27.096, SSIM=0.9750 pre_time:0.021s, forward_time:0.155s, post_time:0.736s, total_time:0.911s
> 0154_1 PSNR=26.169, SSIM=0.9703 pre_time:0.018s, forward_time:0.161s, post_time:0.387s, total_time:0.566s
> 0155_1 PSNR=33.795, SSIM=0.9894 pre_time:0.017s, forward_time:0.156s, post_time:0.407s, total_time:0.580s
> 0157_1 PSNR=29.310, SSIM=0.9885 pre_time:0.014s, forward_time:0.331s, post_time:0.424s, total_time:0.769s
> 0158_1 PSNR=26.380, SSIM=0.9647 pre_time:0.016s, forward_time:0.155s, post_time:0.448s, total_time:0.618s
> 0160_1 PSNR=19.373, SSIM=0.8744 pre_time:0.015s, forward_time:0.157s, post_time:0.603s, total_time:0.775s
> 0161_1 PSNR=17.960, SSIM=0.9039 pre_time:0.016s, forward_time:0.285s, post_time:0.504s, total_time:0.805s
> 0162_1 PSNR=21.457, SSIM=0.9482 pre_time:0.014s, forward_time:0.199s, post_time:0.595s, total_time:0.807s
> 0163_1 PSNR=25.312, SSIM=0.9776 pre_time:0.013s, forward_time:0.156s, post_time:0.402s, total_time:0.571s
> 0164_1 PSNR=27.120, SSIM=0.9738 pre_time:0.032s, forward_time:0.185s, post_time:0.478s, total_time:0.695s
> 0165_1 PSNR=31.702, SSIM=0.9768 pre_time:0.021s, forward_time:0.205s, post_time:0.477s, total_time:0.703s
> 0166_1 PSNR=22.058, SSIM=0.9568 pre_time:0.017s, forward_time:0.155s, post_time:0.520s, total_time:0.692s
> 0167_1 PSNR=23.045, SSIM=0.9662 pre_time:0.020s, forward_time:0.155s, post_time:0.595s, total_time:0.770s
> 0168_1 PSNR=27.562, SSIM=0.9717 pre_time:0.031s, forward_time:0.161s, post_time:0.526s, total_time:0.718s
> 0169_1 PSNR=32.566, SSIM=0.9838 pre_time:0.019s, forward_time:0.344s, post_time:0.528s, total_time:0.890s
> 0170_1 PSNR=27.122, SSIM=0.9601 pre_time:0.018s, forward_time:0.161s, post_time:0.565s, total_time:0.745s
> 0171_1 PSNR=35.104, SSIM=0.9890 pre_time:0.018s, forward_time:0.163s, post_time:0.414s, total_time:0.595s
> 0172_1 PSNR=36.249, SSIM=0.9921 pre_time:0.022s, forward_time:0.337s, post_time:0.548s, total_time:0.906s
> 0174_1 PSNR=30.379, SSIM=0.9880 pre_time:0.020s, forward_time:0.162s, post_time:0.488s, total_time:0.670s
> 0175_1 PSNR=28.832, SSIM=0.9753 pre_time:0.022s, forward_time:0.164s, post_time:0.614s, total_time:0.800s
> 0176_1 PSNR=38.311, SSIM=0.9877 pre_time:0.016s, forward_time:0.159s, post_time:0.420s, total_time:0.595s
> 0178_1 PSNR=32.277, SSIM=0.9845 pre_time:0.015s, forward_time:0.343s, post_time:0.410s, total_time:0.768s
> 0179_1 PSNR=32.000, SSIM=0.9797 pre_time:0.016s, forward_time:0.162s, post_time:0.416s, total_time:0.594s
> 0180_1 PSNR=30.051, SSIM=0.9831 pre_time:0.017s, forward_time:0.156s, post_time:0.386s, total_time:0.559s
> 0181_1 PSNR=33.747, SSIM=0.9896 pre_time:0.015s, forward_time:0.322s, post_time:0.613s, total_time:0.950s
> 0182_1 PSNR=26.553, SSIM=0.9649 pre_time:0.019s, forward_time:0.179s, post_time:0.387s, total_time:0.585s
> 0183_1 PSNR=28.591, SSIM=0.9795 pre_time:0.014s, forward_time:0.155s, post_time:0.511s, total_time:0.681s
> 0184_1 PSNR=30.308, SSIM=0.9895 pre_time:0.020s, forward_time:0.157s, post_time:0.446s, total_time:0.623s
> 0185_1 PSNR=23.440, SSIM=0.9502 pre_time:0.019s, forward_time:0.325s, post_time:0.686s, total_time:1.029s
> 0187_1 PSNR=33.642, SSIM=0.9841 pre_time:0.016s, forward_time:0.337s, post_time:0.414s, total_time:0.767s
> 0188_1 PSNR=25.741, SSIM=0.9806 pre_time:0.016s, forward_time:0.155s, post_time:0.354s, total_time:0.525s
> 0189_1 PSNR=25.913, SSIM=0.9492 pre_time:0.014s, forward_time:0.158s, post_time:0.624s, total_time:0.797s
> 0191_1 PSNR=37.664, SSIM=0.9903 pre_time:0.013s, forward_time:0.339s, post_time:0.582s, total_time:0.934s
> 0194_1 PSNR=32.835, SSIM=0.9587 pre_time:0.014s, forward_time:0.279s, post_time:0.651s, total_time:0.945s
> 0195_1 PSNR=35.270, SSIM=0.9887 pre_time:0.015s, forward_time:0.250s, post_time:0.429s, total_time:0.693s
> 0196_1 PSNR=32.576, SSIM=0.9831 pre_time:0.016s, forward_time:0.157s, post_time:0.557s, total_time:0.729s
> 0197_1 PSNR=27.618, SSIM=0.9774 pre_time:0.016s, forward_time:0.156s, post_time:0.542s, total_time:0.714s
> 0198_1 PSNR=30.482, SSIM=0.9786 pre_time:0.016s, forward_time:0.156s, post_time:0.458s, total_time:0.631s
> 0199_1 PSNR=33.127, SSIM=0.9806 pre_time:0.014s, forward_time:0.337s, post_time:0.588s, total_time:0.940s
> 0200_1 PSNR=30.793, SSIM=0.9817 pre_time:0.014s, forward_time:0.251s, post_time:0.436s, total_time:0.701s
> 0201_1 PSNR=37.111, SSIM=0.9834 pre_time:0.015s, forward_time:0.159s, post_time:0.555s, total_time:0.729s
> 0202_1 PSNR=35.568, SSIM=0.9894 pre_time:0.021s, forward_time:0.156s, post_time:0.420s, total_time:0.597s
> 0204_1 PSNR=28.886, SSIM=0.9887 pre_time:0.020s, forward_time:0.445s, post_time:0.604s, total_time:1.070s
> 0205_1 PSNR=35.889, SSIM=0.9825 pre_time:0.019s, forward_time:1.044s, post_time:0.705s, total_time:1.768s
