Inference - SOTS_indoor
save_image: True
data_path: ../dataset/SOTS/indoor/hazy
gt_path: ../dataset/SOTS/indoor/clear
model_path: ../pretrained_models/SOTS_indoor.pt
result_path: ../infer_results/infer_SOTS_indoor
size_must_mode: 4
device: cuda
Loading model from ../pretrained_models/SOTS_indoor.pt
> 1416_3 PSNR=36.989, SSIM=0.9956 pre_time:0.023s, forward_time:0.200s, post_time:0.644s, total_time:0.868s
> 1416_4 PSNR=36.479, SSIM=0.9949 pre_time:0.025s, forward_time:0.203s, post_time:0.606s, total_time:0.834s
> 1416_5 PSNR=36.473, SSIM=0.9942 pre_time:0.035s, forward_time:0.261s, post_time:0.652s, total_time:0.948s
> 1416_6 PSNR=35.706, SSIM=0.9935 pre_time:0.019s, forward_time:0.358s, post_time:0.626s, total_time:1.003s
> 1416_7 PSNR=36.453, SSIM=0.9936 pre_time:0.019s, forward_time:0.228s, post_time:0.733s, total_time:0.980s
> 1416_8 PSNR=36.088, SSIM=0.9930 pre_time:0.027s, forward_time:0.201s, post_time:0.595s, total_time:0.823s
> 1416_9 PSNR=35.519, SSIM=0.9920 pre_time:0.022s, forward_time:0.199s, post_time:0.612s, total_time:0.834s
> 1417_1 PSNR=40.002, SSIM=0.9966 pre_time:0.032s, forward_time:0.378s, post_time:0.556s, total_time:0.966s
> 1417_10 PSNR=38.214, SSIM=0.9916 pre_time:0.024s, forward_time:0.422s, post_time:0.568s, total_time:1.014s
> 1417_2 PSNR=37.979, SSIM=0.9907 pre_time:0.021s, forward_time:0.446s, post_time:0.644s, total_time:1.111s
> 1417_3 PSNR=40.052, SSIM=0.9962 pre_time:0.031s, forward_time:0.200s, post_time:0.585s, total_time:0.816s
> 1417_4 PSNR=40.149, SSIM=0.9959 pre_time:0.024s, forward_time:0.205s, post_time:0.552s, total_time:0.782s
> 1417_5 PSNR=39.801, SSIM=0.9954 pre_time:0.029s, forward_time:0.200s, post_time:0.613s, total_time:0.842s
> 1417_6 PSNR=39.359, SSIM=0.9947 pre_time:0.027s, forward_time:0.202s, post_time:0.589s, total_time:0.817s
> 1417_7 PSNR=38.930, SSIM=0.9941 pre_time:0.026s, forward_time:0.201s, post_time:0.668s, total_time:0.895s
> 1417_8 PSNR=38.651, SSIM=0.9933 pre_time:0.021s, forward_time:0.389s, post_time:0.667s, total_time:1.078s
> 1417_9 PSNR=38.456, SSIM=0.9924 pre_time:0.026s, forward_time:0.425s, post_time:0.556s, total_time:1.006s
> 1418_1 PSNR=41.985, SSIM=0.9964 pre_time:0.026s, forward_time:0.283s, post_time:0.579s, total_time:0.888s
> 1418_10 PSNR=38.089, SSIM=0.9917 pre_time:0.025s, forward_time:0.342s, post_time:0.544s, total_time:0.911s
> 1418_2 PSNR=37.377, SSIM=0.9905 pre_time:0.025s, forward_time:0.202s, post_time:0.547s, total_time:0.774s
> 1418_3 PSNR=41.351, SSIM=0.9959 pre_time:0.029s, forward_time:0.257s, post_time:0.452s, total_time:0.739s
> 1418_4 PSNR=40.666, SSIM=0.9953 pre_time:0.025s, forward_time:0.434s, post_time:0.638s, total_time:1.097s
> 1418_5 PSNR=40.168, SSIM=0.9949 pre_time:0.029s, forward_time:0.270s, post_time:0.629s, total_time:0.929s
> 1418_6 PSNR=40.129, SSIM=0.9944 pre_time:0.024s, forward_time:0.374s, post_time:0.552s, total_time:0.950s
> 1418_7 PSNR=39.577, SSIM=0.9937 pre_time:0.027s, forward_time:0.203s, post_time:0.532s, total_time:0.762s
> 1418_8 PSNR=39.158, SSIM=0.9931 pre_time:0.023s, forward_time:0.442s, post_time:0.502s, total_time:0.967s
> 1418_9 PSNR=38.751, SSIM=0.9923 pre_time:0.030s, forward_time:0.203s, post_time:0.674s, total_time:0.907s
> 1419_1 PSNR=40.556, SSIM=0.9971 pre_time:0.022s, forward_time:0.316s, post_time:0.455s, total_time:0.793s
> 1419_10 PSNR=37.919, SSIM=0.9929 pre_time:0.025s, forward_time:0.336s, post_time:0.451s, total_time:0.812s
> 1419_2 PSNR=37.885, SSIM=0.9921 pre_time:0.025s, forward_time:0.439s, post_time:0.490s, total_time:0.953s
> 1419_3 PSNR=40.401, SSIM=0.9967 pre_time:0.027s, forward_time:0.201s, post_time:0.427s, total_time:0.655s
> 1419_4 PSNR=39.908, SSIM=0.9962 pre_time:0.026s, forward_time:0.201s, post_time:0.459s, total_time:0.685s
> 1419_5 PSNR=39.510, SSIM=0.9957 pre_time:0.025s, forward_time:0.401s, post_time:0.413s, total_time:0.839s
> 1419_6 PSNR=39.623, SSIM=0.9952 pre_time:0.025s, forward_time:0.414s, post_time:0.436s, total_time:0.875s
> 1419_7 PSNR=39.250, SSIM=0.9947 pre_time:0.026s, forward_time:0.204s, post_time:0.478s, total_time:0.708s
> 1419_8 PSNR=38.563, SSIM=0.9941 pre_time:0.028s, forward_time:0.201s, post_time:0.493s, total_time:0.722s
> 1419_9 PSNR=38.494, SSIM=0.9936 pre_time:0.026s, forward_time:0.331s, post_time:0.572s, total_time:0.930s
> 1420_1 PSNR=37.648, SSIM=0.9954 pre_time:0.025s, forward_time:0.246s, post_time:0.583s, total_time:0.853s
> 1420_10 PSNR=35.682, SSIM=0.9871 pre_time:0.025s, forward_time:0.203s, post_time:0.665s, total_time:0.893s
> 1420_2 PSNR=35.579, SSIM=0.9853 pre_time:0.027s, forward_time:0.210s, post_time:0.729s, total_time:0.966s
> 1420_3 PSNR=37.235, SSIM=0.9949 pre_time:0.029s, forward_time:0.203s, post_time:0.587s, total_time:0.818s
> 1420_4 PSNR=36.494, SSIM=0.9941 pre_time:0.022s, forward_time:0.424s, post_time:0.592s, total_time:1.038s
> 1420_5 PSNR=36.175, SSIM=0.9931 pre_time:0.024s, forward_time:0.362s, post_time:0.876s, total_time:1.262s
